location,beds,bath,price,year_built,sqft,price_per_sqft
San Francisco,2,2,1697760,2008,1620,1048
San Francisco,2,2,1697760,2008,1620,1048
San Francisco,1,1,848788,2012,886,958
San Francisco,2,2,1674464,2012,1562,1072
San Francisco,2,2,1695330,2007,1610,1053
San Francisco,3,2,2218755,2012,1921,1155
San Francisco,1,1,788319,2004,903,873
San Francisco,2,2,1949300,1995,1930,1010
San Francisco,0,1,538840,2000,709,760
San Francisco,2,2,848720,1982,1030,824
San Francisco,2,2.5,2494611,1940,1809,1379
San Francisco,4,4,3760615,1894,3085,1219
San Francisco,3,2,1798200,1926,1800,999
San Francisco,5,2.5,1800778,1890,3073,586
San Francisco,2,1,694925,1923,1045,665
San Francisco,3,2,1650579,1922,1483,1113
San Francisco,1,1,649400,1983,850,764
San Francisco,3,2,994410,1956,1305,762
Boston,4,2,1106283,1970,2217,499
Boston,4,2.5,1604205,1992,2295,699
Boston,4,2.5,1574400,2009,1968,800
Boston,3,2.5,1153449,1996,2013,573
Boston,2,1.5,899388,1995,1494,602
Boston,3,2.5,1022598,2006,1959,522
Boston,3,2,832677,2002,1689,493
Boston,3,2,625991,2001,1601,391
Boston,1,1.5,1710786,2003,1518,1127
Boston,3,2,1781520,2004,1713,1040
Boston,2,2,1590446,1985,1742,913
Boston,2,2,764460,1989,1644,465
Boston,3,2.5,1652672,2005,1904,868
Boston,3,2.5,2056040,2005,2098,980
Boston,3,2.5,1510938,2007,2574,587
Boston,4,2,921920,1958,2144,430
Boston,3,2.5,1012442,1988,2062,491
Boston,2,2,1801394,1970,1561,1154
Boston,3,2,1080162,1972,1494,723
Boston,2,2,993384,1975,1533,648
Boston,3,2.5,960076,1998,1924,499
Boston,3,2.5,1103376,2006,2172,508
Boston,3,2,723276,2003,1629,444
Boston,3,2.5,1495626,2003,2046,731
Boston,3,2,1286028,2002,1668,771
Boston,0,1.5,1008369,2001,1593,633
Boston,1,2,1963090,1959,1801,1090
Boston,4,2.5,2265480,1995,2520,899
Boston,4,2.5,931408,1995,2531,368
Boston,4,2.5,2260920,1999,2270,996
Boston,3,3,2776935,1880,3493,795
Boston,3,2,1161368,2007,1718,676
Boston,4,3.5,1026270,1976,2715,378
Boston,4,2.5,2113020,1986,2730,774
Boston,2,2,1471968,1971,1824,807
Boston,4,2.5,2429910,2007,2610,931
Boston,4,2.5,2151162,2003,2262,951
Boston,3,2,1518000,2004,2000,759
Boston,3,2,1952784,2007,1704,1146
Boston,3,2,1824438,2004,1694,1077
Boston,4,3.5,2214156,2004,2452,903
Boston,3,1.5,1635498,1939,1954,837
Boston,3,2,881986,2007,1726,511
Boston,3,2,1693800,2002,1800,941
Boston,3,2.5,1855886,2000,2153,862
Boston,3,2,1656168,2007,1828,906
Boston,3,2.5,1224423,1932,2727,449
Boston,4,2.5,3000830,1998,2630,1141
Boston,2,2,1696474,2006,1838,923
Boston,3,2.5,1640232,1996,2398,684
Boston,1,1.5,1257880,1983,2132,590
Boston,4,2.5,1696478,2004,2473,686
Boston,3,2,1810886,2007,1694,1069
Boston,2,2,1242885,2007,1869,665
Boston,3,2,1469930,2005,1826,805
Boston,2,2,1744992,2005,1752,996
Boston,5,3,2693592,1990,3222,836
Boston,4,2.5,2124706,2005,2462,863
Boston,3,2,1424622,2007,1698,839
Boston,1,1.5,1608984,1993,1719,936
Boston,3,3.5,2117325,1893,2775,763
Boston,4,2.5,2569104,2005,2504,1026
Boston,4,3.5,2292840,2005,2376,965
Boston,3,1.5,1389523,2007,2161,643
Boston,3,2,1500350,2004,1850,811
Boston,2,2,1408216,1999,1709,824
Boston,4,2.5,1695287,1989,2519,673
Boston,3,2.5,1830510,1999,2365,774
Boston,3,2.5,1645776,2007,2078,792
Boston,4,3,1045584,2004,2466,424
Boston,3,2.5,2422836,1993,2418,1002
Boston,4,3.5,2240348,2006,2596,863
Boston,4,2.5,1173536,1972,2704,434
Boston,4,3,2031176,2005,2324,874
Boston,2,2.5,796601,1995,2113,377
Boston,4,2.5,876256,2004,2224,394
Boston,4,2.5,1073580,2004,2468,435
Boston,4,2.5,1347868,1934,3194,422
Boston,3,2,1222776,2003,1944,629
Boston,4,2.5,1481200,2006,2576,575
Boston,2,2,780780,2005,2028,385
Boston,2,2.5,1250328,2009,1766,708
Boston,2,2,1309860,2007,1710,766
Boston,3,2.5,1196910,2008,2046,585
Boston,2,2,1711360,2003,1792,955
Boston,3,2,2357688,1965,2036,1158
Boston,3,2,1908546,2005,1922,993
Boston,3,2.5,1770810,2006,2643,670
Boston,4,2.5,2340128,2007,2696,868
Boston,0,0.5,2125668,1981,1842,1154
Boston,2,2,1990220,2007,2084,955
Boston,3,2,1322776,2003,2392,553
Boston,2,2,1437447,2007,1419,1013
Boston,1,1.5,1531200,2010,1856,825
Boston,3,2,1917756,1924,1973,972
Boston,4,2.5,986544,1918,2448,403
Boston,3,2.5,1375620,1928,2020,681
Boston,4,2.5,2226818,1937,2794,797
Boston,3,2.5,1160580,1950,2668,435
Boston,3,2.5,920514,1942,2121,434
Boston,1,1.5,2105388,1947,2097,1004
Boston,3,2.5,1499476,1937,2332,643
Boston,4,3,2437140,1920,3228,755
Boston,4,2.5,3063544,1946,2728,1123
Boston,3,3.5,2700565,1910,2945,917
Boston,2,2,794352,1950,1976,402
Boston,3,2.5,1551836,1942,2713,572
Boston,3,2.5,1480920,1943,2296,645
Boston,4,2.5,2435400,1926,3608,675
Boston,4,3.5,2339300,1946,3140,745
Boston,1,2,2363572,1923,2234,1058
Boston,4,3.5,1554246,1917,3279,474
Boston,2,2,1582918,1928,2402,659
Boston,4,3.5,1391246,1936,2822,493
Boston,2,2.5,1806096,1926,2364,764
Boston,4,3.5,1601236,1924,4316,371
Boston,3,2.5,786600,1946,1710,460
Boston,3,2,776360,1923,1493,520
Boston,2,2,1547784,1924,1554,996
Boston,3,1.5,786435,1934,1635,481
Boston,4,2.5,1066572,1919,1908,559
Boston,3,2,1286656,1918,1436,896
Boston,3,2.5,1796700,1947,1590,1130
Boston,4,2.5,1757180,1935,2060,853
Boston,3,2.5,1126092,1940,1796,627
Boston,1,1.5,877168,1921,1502,584
Boston,3,2.5,1370325,1945,1661,825
Boston,3,2.5,1451528,1931,1768,821
Boston,3,2.5,1828250,1923,1775,1030
Boston,3,2,976472,1949,1484,658
Boston,3,2,1150800,1928,1680,685
Boston,3,2.5,1622691,1939,1797,903
Boston,3,2,1605468,1911,1588,1011
Boston,3,2,1514496,1924,1536,986
Boston,3,2,1445970,1950,1535,942
Boston,5,2,1118216,1935,2134,524
Boston,3,1,712080,1945,1656,430
Boston,3,2,698472,1928,1602,436
Boston,3,2.5,1255527,1943,1911,657
Boston,3,2.5,1735485,1927,1961,885
Boston,2,2,767312,1936,1456,527
Boston,3,2.5,1251523,1927,1547,809
Boston,4,2.5,723240,1926,1960,369
Boston,3,2,1602828,1923,1836,873
Boston,3,2,1084320,1946,2259,480
Boston,3,2,945702,1944,1494,633
Boston,3,2,1763937,1924,1647,1071
Boston,3,2.5,1482786,1946,2034,729
Boston,4,2.5,1611808,1949,1928,836
Boston,3,2.5,993885,1992,1915,519
Boston,2,2,478224,2001,1296,369
Boston,3,2,1673526,2005,1541,1086
Boston,3,2.5,1555880,2006,1604,970
Boston,4,2.5,706176,1998,1839,384
Boston,3,2,862038,2002,1494,577
Boston,3,2,892542,2005,1614,553
Boston,3,2,1943760,1988,1680,1157
Boston,2,2.5,1622844,2009,1478,1098
Boston,3,2.5,1405452,1998,2031,692
Boston,3,2.5,2163205,2001,2035,1063
Boston,3,1.5,868376,1923,1576,551
Boston,3,2.5,1057312,2001,1786,592
Boston,2,2,1203188,2009,1358,886
Boston,3,2.5,1296072,2009,1692,766
Boston,3,2,1843710,1998,1661,1110
Boston,3,3,2072256,1948,2008,1032
Boston,3,2,1390496,1953,2287,608
Boston,4,2.5,1078883,1990,2243,481
Boston,3,2.5,1629020,2003,1733,940
Boston,3,2,1552308,2007,1496,1038
Boston,4,2.5,2291531,1966,2157,1062
Boston,3,2.5,1185000,2001,1929,614
Boston,3,2,849750,1980,1479,575
Boston,3,2.5,1194649,1920,1768,676
Boston,3,2,450000,2008,1428,315
Boston,3,3,1194649,2007,1761,678
Boston,2,2.5,1185000,1981,1707,694
Boston,3,2.5,624800,1993,2097,298
Boston,3,2.5,1579750,1989,1982,797
Boston,3,2,733217,1965,1786,411
Boston,4,2.5,1223600,1988,2183,561
Boston,3,2.5,1087366,1999,1852,587
Boston,4,2.5,1223600,1999,2291,534
Boston,3,2,2174731,1936,1795,1212
Boston,3,2.5,1674575,1987,1936,865
Boston,3,2.5,1674575,1997,1764,949
Boston,3,2.5,998750,1934,1792,557
Boston,3,2,775000,1962,1489,520
Boston,4,2.5,1595076,2004,2084,765
Boston,3,2.5,1998000,2006,1919,1041
Boston,3,1.5,1285284,1926,2080,618
Boston,2,2,797538,2003,1557,512
Boston,4,2,3996000,1918,3112,1284
Boston,1,1,1248808,1960,1252,997
Boston,3,2.5,1789500,1977,2263,791
Boston,2,2,2116667,2006,1625,1303
Boston,3,2.5,1637500,1993,1949,840
Boston,4,2.5,1995400,1950,2256,884
Boston,2,2,1414314,1945,1616,875
Boston,3,2.5,924700,2003,1829,506
Boston,4,2.5,1750000,1918,2624,667
Boston,2,2,1750193,1987,1767,990
Boston,3,2.5,1249920,1997,1950,641
Boston,1,1.5,898720,2003,2149,418
Boston,3,2.5,1950000,2005,1801,1083
Boston,5,3,1750000,1908,2358,742
Boston,4,2.5,774774,1974,2614,296
Boston,3,2.5,389950,1992,1953,200
Boston,3,2,700000,2006,1670,419
Boston,2,2,648750,2006,1550,419
Boston,2,1,1200000,1954,1363,880
Boston,3,2,319000,1988,1872,170
Boston,5,2.5,700000,1967,2978,235
Boston,4,2,774774,1950,2158,359
Boston,3,2,648750,1973,2223,292
Boston,3,2.5,1848915,2000,2054,900
Boston,3,2,615000,2008,1468,419
Boston,3,2,1589625,2007,1563,1017
Boston,1,1.5,1150035,1996,1288,893
Boston,4,2.5,2649880,2000,2285,1160
Boston,3,2,469000,2006,1646,285
Boston,3,2,569064,2006,1656,344
Boston,3,1.5,549000,1936,2057,267
Boston,4,2.5,799000,1968,2654,301
Boston,4,2.5,879200,1972,2198,400
Boston,3,2.5,999467,1972,1992,502
Boston,3,2,999467,1968,1634,612
Boston,3,2,1499200,1972,1372,1093
Boston,2,2,1499200,1967,1652,908
Boston,3,2.5,399000,1968,1852,215
Boston,3,2.5,1134705,1969,2042,556
Boston,2,2,1145200,1970,1324,865
Boston,3,2.5,1760350,1971,1947,904
Boston,3,2,1724592,1972,1636,1054
Boston,3,2,1375004,1973,1717,801
Boston,2,1,1375004,1954,1663,827
Boston,3,2,399000,2007,1600,249
Boston,3,2,1725152,1957,1839,938
Boston,4,2.5,868990,1998,2263,384
Boston,3,2.5,1760350,1945,2320,759
Boston,4,2.5,1249500,1980,2353,531
Boston,4,2.5,1500800,1991,2417,621
Boston,4,2.5,1134705,1993,2646,429
Boston,3,2,1145200,2005,1734,660
Boston,3,2,1724592,1996,1720,1003
Boston,3,2.5,904176,2001,1872,483
Boston,3,2,1711638,2008,1566,1093
Boston,4,2.5,1735926,2003,2094,829
Boston,3,2.5,953955,2009,1935,493
Boston,2,2,1621962,2008,1506,1077
Boston,1,2,752160,2006,1567,480
Boston,3,2.5,1033704,1996,2344,441
Boston,4,1.5,2262480,1880,2640,857
Boston,2,2,1414560,2005,1684,840
Boston,3,2.5,2156168,2006,1939,1112
Boston,4,2.5,1110756,1998,2452,453
Philadelphia,5,3,1204896,1946,4564,264
Philadelphia,4,2.5,534192,1925,2154,248
Philadelphia,2,2,333960,1946,1380,242
Philadelphia,3,2.5,346000,1925,2000,173
Philadelphia,2,3,432000,2004,1728,250
Philadelphia,4,2,230880,2001,2080,111
Philadelphia,1,1,665640,1925,1935,344
Philadelphia,4,3.5,675360,1999,2520,268
Philadelphia,4,2,559200,1925,2400,233
Philadelphia,4,3,534072,1965,2856,187
Philadelphia,3,2,210806,1925,1934,109
Philadelphia,5,4,575526,1925,2702,213
Philadelphia,3,2,758440,1977,2264,335
Philadelphia,3,2,328320,1950,1152,285
Philadelphia,3,3,407736,1927,1618,252
Philadelphia,3,3,859940,1957,2774,310
Philadelphia,3,2,457200,1920,1200,381
Philadelphia,4,2.5,205200,1925,2052,100
Philadelphia,6,2.5,981540,1925,2660,369
Philadelphia,3,2,500346,1939,1386,361
Philadelphia,4,1,679728,1925,1734,392
Philadelphia,3,2,364608,1964,1728,211
Philadelphia,3,2,469395,1970,1647,285
Philadelphia,5,2.5,958300,1925,2590,370
Philadelphia,3,3,690480,1962,1644,420
Philadelphia,4,1,581250,1920,1550,375
Philadelphia,4,3,449442,1957,1107,406
Philadelphia,3,1,381990,1925,1190,321
Philadelphia,3,4,194208,1918,1632,119
Philadelphia,3,1,407925,1925,1575,259
Philadelphia,3,3,604422,1964,1722,351
Philadelphia,5,1,235200,1955,2400,98
Philadelphia,3,1,444040,1875,1306,340
Philadelphia,3,3,326304,1992,1854,176
Philadelphia,2,2,142560,1925,990,144
Philadelphia,3,2,240294,1933,1381,174
Philadelphia,3,1,232190,1920,1070,217
Philadelphia,4,1,734536,1935,1964,374
Philadelphia,3,1,318240,1941,936,340
Philadelphia,3,4,600912,1973,1404,428
Philadelphia,2,1,154456,1921,898,172
Philadelphia,3,3,327020,1965,1660,197
Philadelphia,3,1,320776,1940,1588,202
Philadelphia,3,2,312000,1960,1040,300
Philadelphia,5,3,355680,1988,1872,190
Philadelphia,3,1,506600,1915,1192,425
Philadelphia,4,1,416412,1968,1548,269
Philadelphia,3,1,420736,1950,1216,346
Philadelphia,3,2,429726,1950,1122,383
Philadelphia,2,1,470936,1910,1369,344
Philadelphia,3,2,156600,1925,1450,108
Philadelphia,3,1,487890,1899,1170,417
Philadelphia,3,4,225816,1956,1164,194
Philadelphia,4,1,483108,1900,1902,254
Philadelphia,3,1.5,304380,1935,1068,285
Philadelphia,3,3,135360,1972,1440,94
Philadelphia,3,1.5,191478,1962,1358,141
Philadelphia,2,2,253236,2006,1347,188
Philadelphia,3,1,379140,1920,1068,355
Philadelphia,2,1,187920,1914,1080,174
Philadelphia,1,1,554190,1985,1470,377
Philadelphia,3,2,533694,1958,1358,393
Philadelphia,4,1,638880,1961,1760,363
Philadelphia,3,1,447262,1965,1481,302
Philadelphia,6,2,476280,1920,2646,180
Philadelphia,4,2,312480,1971,1440,217
Philadelphia,2,1,361088,1939,896,403
Philadelphia,2,1,382000,1970,2000,191
Philadelphia,3,2.5,309620,1956,1370,226
Philadelphia,2,1,206976,1955,896,231
Philadelphia,3,3,198832,1940,1462,136
Philadelphia,3,2,549120,2004,1280,429
Philadelphia,4,2,618975,1900,1575,393
Philadelphia,3,2,563206,1945,1642,343
Philadelphia,3,1.5,287280,1965,1260,228
Philadelphia,5,3,442780,1950,1703,260
Philadelphia,3,2.5,332928,1950,1224,272
Philadelphia,3,1.5,445740,1925,1380,323
Philadelphia,3,4,549024,1925,1634,336
Philadelphia,3,3,619178,2006,1882,329
Philadelphia,3,2,383760,1956,1066,360
Philadelphia,3,1,370272,1917,1064,348
Philadelphia,3,1,382536,1936,1656,231
Philadelphia,3,2,230144,1922,928,248
Philadelphia,6,2,190500,1945,1500,127
Philadelphia,3,2,206550,1952,1350,153
Philadelphia,2,3,402688,1980,1664,242
Philadelphia,3,3,313536,1961,1104,284
Philadelphia,3,1.5,507875,1916,1195,425
Philadelphia,3,2,346680,1979,1080,321
Philadelphia,4,1,680000,1950,1600,425
Philadelphia,3,2,122210,1956,1210,101
Philadelphia,5,4,262864,1930,2347,112
Philadelphia,4,1,693888,1930,1664,417
Philadelphia,4,3,682560,1910,2160,316
Philadelphia,2,2,295680,1955,896,330
Philadelphia,3,1,479808,1946,1344,357
Philadelphia,3,2,593280,1925,1440,412
Philadelphia,3,2,385152,1945,1632,236
Philadelphia,5,4,419136,1930,1888,222
Philadelphia,3,1,350784,1937,1044,336
Philadelphia,3,2,238740,1953,1380,173
Philadelphia,2,2,363000,1916,1000,363
Philadelphia,4,1,362780,1925,1940,187
Philadelphia,3,2,540384,1950,1248,433
Philadelphia,4,1,254464,1900,1792,142
Philadelphia,3,3,717120,1926,1992,360
Philadelphia,4,1.5,387072,1942,1792,216
Philadelphia,3,1,329688,1920,1368,241
Philadelphia,3,1,491400,1900,1400,351
Philadelphia,3,1,398464,1955,1132,352
Philadelphia,3,2,381000,1956,1000,381
Philadelphia,3,1,531272,1925,1432,371
Philadelphia,4,2,579550,1940,1730,335
Philadelphia,3,1,565500,1925,1500,377
Philadelphia,2,3,201984,1986,1052,192
Philadelphia,3,1.5,251328,1940,1056,238
Philadelphia,3,1,415872,1925,1152,361
Philadelphia,3,2,380880,1996,1840,207
Philadelphia,3,1,214508,1920,1316,163
Philadelphia,4,1,353100,1925,1650,214
Philadelphia,3,1,126000,1950,1200,105
Philadelphia,3,1,313344,1930,1152,272
Philadelphia,4,1,569232,1918,1416,402
Philadelphia,4,3,362880,1950,1260,288
Philadelphia,3,1,598500,1923,1500,399
Philadelphia,2,1,128000,1955,1024,125
Philadelphia,3,1,371420,1920,980,379
Philadelphia,3,1,285600,1965,1360,210
Philadelphia,3,1,533952,1956,1296,412
Philadelphia,3,1,486048,1950,1328,366
Philadelphia,3,1,302600,1925,890,340
Philadelphia,3,2,208962,1925,1482,141
Philadelphia,4,1,713944,1925,1708,418
Philadelphia,4,2,210000,1925,1500,140
Philadelphia,3,1,306090,1925,1074,285
Philadelphia,3,1,434634,1925,1354,321
Philadelphia,3,1,456298,1925,1354,337
Philadelphia,3,1.5,490960,1965,1360,361
Philadelphia,4,2,270864,1951,1188,228
Philadelphia,3,2,445924,1947,1702,262
Philadelphia,3,1,570774,1950,1506,379
Philadelphia,3,1,127764,1923,1092,117
Philadelphia,3,1,464512,1925,1216,382
Philadelphia,3,2,456960,1930,1680,272
Philadelphia,2,1,147628,1915,884,167
Philadelphia,4,1,391776,1925,1696,231
Philadelphia,3,1,427671,1950,1159,369
Philadelphia,4,1,527688,1925,1512,349
Philadelphia,3,1,344318,1900,1558,221
Philadelphia,4,1,229950,1918,1050,219
Philadelphia,3,1,471420,1950,1164,405
Philadelphia,3,1,439280,1965,1360,323
Philadelphia,3,1,280160,1987,1360,206
Philadelphia,3,2,228288,1925,1312,174
Philadelphia,4,2,443352,1946,1092,406
Philadelphia,3,1.5,477958,1950,1186,403
Philadelphia,3,1,94848,1920,912,104
Philadelphia,3,2,496400,1956,1168,425
Philadelphia,3,3,472416,1960,1184,399
Philadelphia,3,2,548250,1925,1290,425
Philadelphia,5,2,492536,1900,1544,319
Philadelphia,3,1,473200,1925,1352,350
Philadelphia,3,2,400162,1925,1414,283
Philadelphia,3,2,176800,1965,1360,130
Philadelphia,3,1,558558,1925,1302,429
Philadelphia,3,1,277160,1936,1352,205
Philadelphia,4,1,431472,1963,1616,267
Philadelphia,3,6,302176,1955,1136,266
Philadelphia,3,1.5,315840,1959,1120,282
Philadelphia,4,2,218400,1941,1680,130
Philadelphia,3,1.5,203796,1996,1332,153
Philadelphia,2,1,209620,1920,940,223
Philadelphia,2,1,225120,1925,1072,210
Philadelphia,4,1,570240,1925,1584,360
Philadelphia,3,2.5,149600,1965,1360,110
Philadelphia,3,2,276276,1950,1196,231
Philadelphia,3,1,479560,1925,1262,380
Philadelphia,3,1,249920,1925,1420,176
Philadelphia,3,1,461952,1925,1152,401
Philadelphia,5,1,180198,1918,1917,94
Philadelphia,3,1,323840,1950,1408,230
Philadelphia,3,2,139062,1925,1419,98
Philadelphia,2,1,73508,1900,782,94
Philadelphia,3,1,337536,1964,1152,293
Philadelphia,3,1.5,501480,1947,1260,398
Philadelphia,3,1,584640,1925,1440,406
Philadelphia,3,2,468000,1925,1200,390
Philadelphia,2,1,149640,1965,860,174
Philadelphia,3,2,146911,1951,1373,107
Philadelphia,5,3,725788,1925,2116,343
Philadelphia,3,1,211328,1950,1664,127
Philadelphia,3,1,422240,1957,1120,377
Philadelphia,3,1,406934,1925,1166,349
Philadelphia,3,2,674730,1945,2295,294
Philadelphia,4,1,289560,1970,1140,254
Philadelphia,3,2,314096,1950,1172,268
Philadelphia,2,1,276045,1955,717,385
Philadelphia,3,2,235218,1950,1182,199
Philadelphia,3,1,404640,1950,1440,281
Philadelphia,3,1.5,289152,1950,1152,251
Philadelphia,3,1,327360,1965,1320,248
Philadelphia,5,2,556288,1939,1696,328
Philadelphia,3,1,213750,1925,1250,171
Philadelphia,3,1,370498,1948,1282,289
Philadelphia,3,3,147456,1950,1152,128
Philadelphia,3,1,236544,1925,1344,176
Philadelphia,3,1,349986,1910,1282,273
Philadelphia,3,1,425680,1925,1360,313
Philadelphia,3,1,402930,1925,1110,363
Philadelphia,2,1,119700,1925,900,133
Philadelphia,4,1.5,410982,1956,1437,286
Philadelphia,4,2,300300,1930,1650,182
Philadelphia,3,1,216384,1940,1344,161
Philadelphia,2,2,412965,1980,1311,315
Philadelphia,3,2,326400,1940,1020,320
Philadelphia,3,2,421544,1953,1334,316
Philadelphia,3,1,141636,1925,1276,111
Philadelphia,3,2,399168,1925,1344,297
Philadelphia,2,2,194043,1918,911,213
Philadelphia,3,1,257280,1955,1340,192
Philadelphia,3,1,375156,1950,1226,306
Philadelphia,3,1,211312,1925,1124,188